iter	Logloss
0	0.6411913077
1	0.5942258984
2	0.566718182
3	0.53734759
4	0.5182491186
5	0.5036801476
6	0.4890577585
7	0.4747388503
8	0.4641027203
9	0.4545138135
10	0.4448479978
11	0.4393636047
12	0.4346592648
13	0.4297261265
14	0.4273198865
15	0.4247841248
16	0.4214959668
17	0.418029295
18	0.41537527
19	0.4133339056
20	0.4111784806
21	0.4100359802
22	0.408290289
23	0.4070046568
24	0.4048897611
25	0.4035242735
26	0.401993143
27	0.4004762029
28	0.3994755428
29	0.3982128651
30	0.3976208895
31	0.3968418202
32	0.39649099
33	0.3957711737
34	0.3955087454
35	0.3950325369
36	0.3941010861
37	0.3935782454
38	0.3922398746
39	0.391333302
40	0.3912683872
41	0.3912588839
42	0.3904634564
43	0.3898892982
44	0.3897450429
45	0.3891612257
46	0.3882570376
47	0.3880561675
48	0.3880532486
49	0.3872535306
50	0.3867374533
51	0.3865439772
52	0.386245174
53	0.3856101381
54	0.3856043026
55	0.3844008517
56	0.3840710577
57	0.3835694266
58	0.3831888138
59	0.3829583217
60	0.3820175201
61	0.3818566656
62	0.3812580253
63	0.3809704847
64	0.3807477686
65	0.3803557831
66	0.3801321451
67	0.3797508662
68	0.3787738246
69	0.3784751389
70	0.3779162872
71	0.3772335037
72	0.3766873505
73	0.3763401391
74	0.3758612873
75	0.3757563724
76	0.3747242939
77	0.3744544135
78	0.3739031444
79	0.3739028116
80	0.3734552458
81	0.3733949917
82	0.3733948242
83	0.3727948796
84	0.3726813032
85	0.3723904832
86	0.372122801
87	0.371630659
88	0.3710412875
89	0.370852908
90	0.3708243897
91	0.3704420611
92	0.3698747958
93	0.3696795686
94	0.3694614287
95	0.3690262334
96	0.3684631844
97	0.3677911784
98	0.3672232774
99	0.3666674716
100	0.3665901693
101	0.3664933328
102	0.3664904974
103	0.3651099961
104	0.3646601695
105	0.3638403993
106	0.3635505603
107	0.3632121971
108	0.3627915014
109	0.3625278252
110	0.3618175045
111	0.3616063312
112	0.3615175062
113	0.360964582
114	0.3607280268
115	0.3604139229
116	0.3602118823
117	0.3598874468
118	0.3598036949
119	0.3591222805
120	0.3586717398
121	0.3582067967
122	0.3579281926
123	0.3575761219
124	0.3573134066
125	0.3572694864
126	0.3570047261
127	0.3566026835
128	0.3562982322
129	0.3560904502
130	0.3554512255
131	0.3552025498
132	0.3546867525
133	0.3544052257
134	0.354123607
135	0.3536250414
136	0.353278443
137	0.352802967
138	0.3522201124
139	0.3519162816
140	0.3514899508
141	0.3511672562
142	0.3510478916
143	0.3504035272
144	0.3501040548
145	0.3500612623
146	0.3498198159
147	0.3497486815
148	0.3494466291
149	0.3487932545
150	0.3485602047
151	0.3484838085
152	0.3481008495
153	0.3476916322
154	0.3469875014
155	0.3468715242
156	0.3463617419
157	0.3462510828
158	0.3460069217
159	0.3453081248
160	0.3450298139
161	0.3446505615
162	0.344105359
163	0.3441005433
164	0.3437918098
165	0.3431820765
166	0.3426244206
167	0.3418578887
168	0.3412718504
169	0.3404079469
170	0.3400065292
171	0.3398085656
172	0.3396323282
173	0.3392926135
174	0.3388029591
175	0.3381569135
176	0.3378723434
177	0.3376141394
178	0.3372809722
179	0.3371259718
180	0.3368584839
181	0.336480163
182	0.3364745984
183	0.3363959158
184	0.3359159211
185	0.3352454856
186	0.3347845783
187	0.3342155599
188	0.3341703132
189	0.3333366673
190	0.3327438966
191	0.332137786
192	0.3314190656
193	0.3312700506
194	0.3310019774
195	0.330925206
196	0.330272642
197	0.3301988482
198	0.3300210031
199	0.3295169674
200	0.3293437011
201	0.3292941834
202	0.3290921274
203	0.3289578907
204	0.3281964709
205	0.3279701426
206	0.3275480965
207	0.3274184533
208	0.3269050027
209	0.3267436618
210	0.3261253419
211	0.3261134924
212	0.3258561307
213	0.3252885382
214	0.3250828872
215	0.3247048512
216	0.3241980809
217	0.3239495373
218	0.3235144086
219	0.3234145911
220	0.3233035168
221	0.3232160893
222	0.3229603383
223	0.3226926616
224	0.3225165265
225	0.3219547843
226	0.3212624213
227	0.320781208
228	0.3206834661
229	0.3206389042
230	0.3204545949
231	0.3204248896
232	0.3201669214
233	0.3200638524
234	0.3199482459
235	0.319393893
236	0.3188964786
237	0.3182023265
238	0.3179750898
239	0.3179210559
240	0.317713482
241	0.3173099105
242	0.3170569498
243	0.3165678987
244	0.3158979682
245	0.3152916652
246	0.3148175831
247	0.3144771622
248	0.3141080384
249	0.3139431225
250	0.3135777067
251	0.3132595124
252	0.3127900469
253	0.3125525223
254	0.3119996074
255	0.3116292735
256	0.3112901421
257	0.3111187711
258	0.3110657136
259	0.3108768963
260	0.3102117429
261	0.3096642116
262	0.3092402595
263	0.3085951907
264	0.3081978382
265	0.3078922157
266	0.3077397622
267	0.307618728
268	0.3073475347
269	0.3070860575
270	0.3068424031
271	0.3065369225
272	0.3059547943
273	0.3052455755
274	0.3050678622
275	0.3049063953
276	0.3046976934
277	0.3045204272
278	0.3043305935
279	0.3037653264
280	0.3034281492
281	0.3031710008
282	0.3028868019
283	0.3025348666
284	0.3021326047
285	0.3019859888
286	0.3017514625
287	0.3015252006
288	0.3010799813
289	0.3009875356
290	0.3005641616
291	0.3005310347
292	0.3001095703
293	0.2995480901
294	0.2991948797
295	0.2990888901
296	0.2987649393
297	0.298639491
298	0.2986125716
299	0.298543304
300	0.2982195467
301	0.2979751386
302	0.297561365
303	0.2973079921
304	0.2970058418
305	0.2963816878
306	0.2963310825
307	0.2958553267
308	0.2956851118
309	0.295172853
310	0.2949400182
311	0.2944892529
312	0.2942531655
313	0.2939943265
314	0.2939084433
315	0.2933195897
316	0.2932558603
317	0.2932075534
318	0.293176766
319	0.2929897331
320	0.2925286847
321	0.2923085938
322	0.2922025524
323	0.2917885324
324	0.2915285319
325	0.2914231474
326	0.2910744765
327	0.2908481971
328	0.2905451933
329	0.2902918063
330	0.2899136225
331	0.2897452367
332	0.2895348646
333	0.2893758724
334	0.2890032676
335	0.2889268086
336	0.2887329357
337	0.2883680882
338	0.2880509691
339	0.287777289
340	0.287474432
341	0.2870990351
342	0.2866012461
343	0.2865549201
344	0.2862054455
345	0.2859056438
346	0.2858741531
347	0.2856619468
348	0.2855281716
349	0.2852337058
350	0.2851634956
351	0.2848407378
352	0.2845641394
353	0.2844266755
354	0.2843268859
