iter	Passed	Remaining
0	278	278223
1	564	281866
2	660	219429
3	768	191445
4	850	169155
5	905	149992
6	985	139768
7	1086	134767
8	1137	125281
9	1224	121206
10	1310	117818
11	1387	114256
12	1446	109858
13	1577	111076
14	1614	106028
15	1699	104490
16	1764	102025
17	1836	100180
18	1911	98674
19	1989	97474
20	2056	95887
21	2123	94412
22	2192	93140
23	2290	93152
24	2382	92907
25	2478	92836
26	2560	92281
27	2653	92107
28	2791	93472
29	2903	93873
30	3008	94047
31	3107	94013
32	3244	95065
33	3359	95461
34	3452	95179
35	3575	95738
36	3681	95816
37	3933	99571
38	4042	99623
39	4110	98657
40	4136	96761
41	4164	94995
42	4235	94259
43	4311	93687
44	4335	92003
45	4417	91621
46	4496	91170
47	4541	90073
48	4573	88762
49	4671	88752
50	4765	88676
51	4842	88290
52	4959	88622
53	5067	88771
54	5137	88268
55	5222	88036
56	5309	87837
57	5385	87470
58	5462	87119
59	5537	86757
60	5618	86495
61	5753	87046
62	5854	87081
63	5957	87122
64	6024	86652
65	6084	86102
66	6154	85703
67	6226	85344
68	6301	85024
69	6468	85942
70	6569	85954
71	6658	85817
72	6730	85468
73	6797	85063
74	6870	84734
75	6946	84451
76	7029	84259
77	7106	84006
78	7186	83784
79	7213	82949
80	7275	82550
81	7334	82105
82	7363	81357
83	7483	81606
84	7560	81386
85	7643	81237
86	7720	81019
87	7783	80663
88	7857	80429
89	7943	80319
90	8012	80040
91	8110	80047
92	8183	79815
93	8249	79511
94	8306	79128
95	8372	78840
96	8511	79239
97	8607	79226
98	8676	78968
99	8741	78672
100	8807	78395
101	8873	78118
102	8906	77564
103	8969	77272
104	9044	77096
105	9120	76925
106	9198	76771
107	9291	76736
108	9356	76479
109	9457	76521
110	9534	76361
111	9617	76253
112	9687	76039
113	9754	75813
114	9817	75555
115	9883	75318
116	9942	75036
117	10019	74894
118	10110	74850
119	10183	74678
120	10255	74503
121	10478	75410
122	10625	75763
123	10763	76039
124	10876	76132
125	10945	75926
126	11021	75761
127	11107	75668
128	11179	75484
129	11261	75366
130	11392	75572
131	11527	75804
132	11643	75901
133	11722	75760
134	11782	75494
135	11838	75209
136	11895	74934
137	11954	74672
138	12009	74389
139	12063	74104
140	12117	73824
141	12172	73552
142	12229	73293
143	12283	73018
144	12342	72776
145	12395	72502
146	12449	72241
147	12503	71981
148	12562	71752
149	12623	71534
150	12680	71296
151	12744	71100
152	12801	70868
153	12864	70673
154	12920	70436
155	12983	70245
156	13053	70090
157	13115	69893
158	13177	69697
159	13243	69527
160	13312	69375
161	13381	69218
162	13455	69093
163	13526	68949
164	13616	68906
165	13694	68802
166	13778	68727
167	13845	68570
168	13919	68442
169	13987	68290
170	14044	68088
171	14104	67896
172	14172	67751
173	14245	67627
174	14308	67455
175	14377	67312
176	14446	67171
177	14506	66992
178	14567	66814
179	14639	66692
180	14702	66524
181	14764	66360
182	14825	66188
183	14888	66028
184	14951	65869
185	15009	65686
186	15081	65567
187	15148	65430
188	15207	65254
189	15278	65133
190	15345	64995
191	15400	64810
192	15468	64678
193	15534	64539
194	15614	64458
195	15696	64386
196	15776	64307
197	15859	64237
198	15959	64237
199	16042	64171
200	16130	64120
201	16196	63983
202	16258	63831
203	16335	63739
204	16444	63771
205	16542	63762
206	16613	63646
207	16680	63514
208	16746	63381
209	16822	63285
210	16896	63182
211	16991	63157
212	17080	63110
213	17170	63065
214	17233	62920
215	17306	62814
216	17380	62715
217	17489	62736
218	17575	62676
219	17646	62565
220	17722	62470
221	17801	62385
222	17880	62301
223	17954	62199
224	18031	62106
225	18099	61987
226	18170	61876
227	18241	61764
228	18318	61674
229	18414	61648
230	18511	61623
231	18589	61537
232	18667	61451
233	18763	61421
234	18831	61301
235	18910	61219
236	18999	61168
237	19106	61174
238	19180	61073
239	19241	60930
240	19328	60871
241	19398	60760
242	19465	60639
243	19533	60523
244	19608	60426
245	19675	60304
246	19743	60188
247	19811	60073
248	19889	59987
249	19955	59867
250	20026	59759
251	20096	59652
252	20160	59525
253	20227	59407
254	20289	59276
255	20377	59222
256	20469	59177
257	20542	59081
258	20620	58993
259	20684	58871
260	20750	58752
261	20819	58643
262	20887	58532
263	20954	58419
264	21034	58340
265	21102	58228
266	21171	58123
267	21240	58015
268	21327	57956
269	21412	57893
270	21491	57813
271	21584	57770
272	21661	57683
273	21730	57578
274	21808	57495
275	21884	57408
276	21959	57315
277	22016	57180
278	22080	57061
279	22145	56945
280	22210	56829
281	22273	56709
282	22369	56674
283	22478	56670
284	22551	56576
285	22617	56463
286	22681	56347
287	22747	56235
288	22814	56128
289	22892	56047
290	22967	55957
291	23042	55869
292	23110	55764
293	23180	55663
294	23242	55546
295	23312	55447
296	23382	55345
297	23453	55250
298	23523	55149
299	23587	55037
300	23782	55228
301	23848	55120
302	23905	54989
303	23965	54867
304	24021	54737
305	24084	54622
306	24142	54497
307	24196	54363
308	24266	54265
309	24331	54156
310	24394	54044
311	24466	53951
312	24540	53864
313	24604	53753
314	24665	53637
315	24719	53506
316	24778	53386
317	24831	53254
318	24889	53133
319	24945	53009
320	25012	52908
321	25078	52804
